Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Basic Needs Assistance,https://www.auntbertha.com//families-forward--irvine-ca--basic-needs-assistance/6300694587899904?postal=92620,"['food pantry', 'baby supplies', 'diapers & formula']",,"['anyone in need', 'all ages', 'individuals', 'families', 'low-income']",949-552-2727,https://www.families-forward.org/food-pantry/,"8 Thomas, Irvine, CA 92618","https://www.google.com/maps/?q=8+Thomas,+Irvine,+CA+92618/",['Must reside in Orange County.'],available,"Families Forward is providing drive-thru services including food assistance and diapers at our Program Center.This program provides:- Canned goods, rice and pasta- Fresh produce, bread and eggs (when available)- Diapers and baby foodRegister by completing the online registration form found on our website OR you may call and register over the phone. Please register in advance if possible; however, you can register in person if needed. Our registration process takes about 10 minutes. At this time, you can pick-up food once per week, without appointment. Please drive through on the left lane â€“ the right lane is for food assistance pick-up only.","['English', 'Spanish']",Free,True,https://www.facebook.com/families.forward,https://www.twitter.com/@FamiliesForward,"This program covers residents of the following counties: Orange County, CA.",33.6437681,-117.7214485,92618.0,False,10:00 AM - 2:00 PM  PST,10:00 AM - 2:00 PM  PST,10:00 AM - 2:00 PM  PST,10:00 AM - 2:00 PM  PST,Closed,Closed,Closed
Food Pantry,https://www.auntbertha.com//st-thomas-more-catholic-church---society-of-st-vincent-de-paul--irvine-ca--food-pantry/5148898421112832?postal=92620,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://stmirvine.org/ministries/stvincentdepaul/,"51 Marketplace, Irvine, CA 92602","https://www.google.com/maps/?q=51+Marketplace,+Irvine,+CA+92602/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet basic nutritional needsThis program is available on the 2nd and 4th Tuesdays of the month from 1:00 p.m. to 2:00 p.m. Their pantry contains non-perishable foods and sometimes has fresh produce available.,['English'],Free,True,https://www.facebook.com/STMIrvine,,"This program covers residents of the following cities: Irvine, CA.",33.7290839,-117.783788,92602.0,False,Closed,1:00 PM - 2:00 PM  PST,Closed,Closed,Closed,Closed,Closed
Food Pantry,https://www.auntbertha.com//mariners-church--irvine-ca--food-pantry/5391686452379648?postal=92620,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://www.marinerschurch.org/community-center/,"5001 Newport Coast Drive, Irvine, CA 92603","https://www.google.com/maps/?q=5001+Newport+Coast+Drive,+Irvine,+CA+92603/",[],available,"At Mariners' Food Pantry we distribute bags of shelf stable food, fresh produce, protein, and dairy to families in need. We are able to personally connect with each individual family and walk alongside them in their journey towards self-sufficiency.


We offer:

- Food to meet basic nutritional needs",['English'],Free,True,https://www.facebook.com/marinerschurch,,"This program covers residents of the following counties: Orange County, CA.",33.6306413,-117.833765,92603.0,False,Closed,9:30 AM - 12:30 PM  PST,9:30 AM - 12:30 PM  PST,9:30 AM - 12:30 PM  PST,9:30 AM - 12:30 PM  PST,Closed,Closed
Housing Support,https://www.auntbertha.com//standup-for-kids--irvine-ca--housing-support/5939414294069248?postal=92620,"['help pay for housing', 'food pantry', 'help find housing', 'clothing', 'furniture', 'daily life skills', 'counseling', 'help find healthcare']",,"['young adults', 'teens', 'homeless']",800-365-4543,https://www.standupforkids.org/what-we-do/housing,,,['This program helps people who are younger than 25 years old'],available,"StandUp for Kids Housing Support program provides homeless youths living in 7 counties across the United States with housing opportunities and provide a variety of supports to help them maintain their residence.This program provides:- Assistance in locating and taking care of an apartment- Life skills training, including the fundamentals of living alone and supporting one's self- Developing a follow-up plan after being placed in an independent living situation- Weekly food baskets- Clothes- Furniture- Counseling and moral support- Referrals for medical and dental support- Housing stipendsPlease call the toll free program number to be directed to your local StandUp for Kids chapter.",['English'],Reduced Cost,True,https://www.facebook.com/StandUp4KidsNational,https://www.twitter.com/@StandUpForKids,"This program covers residents of the following cities: Irvine, CA, San Diego, CA, Worcester, MA, Houston, TX, San Antonio, TX, Virginia Beach, VA and Silverdale, WA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
Food Pantry,https://www.auntbertha.com//south-county-outreach--irvine-ca--food-pantry/5719712549830656?postal=92620,['food pantry'],,"['all ages', 'individuals', 'families', 'low-income']",,http://www.sco-oc.org/food-pantry/,"7 Whatney, Irvine, CA 92618","https://www.google.com/maps/?q=7+Whatney,+Irvine,+CA+92618/",[],available,"South County Outreach offers client choice shopping. Client choice is a model of emergency food distribution that families and individuals to select their own food, much like a grocery store.

Clients are able to visit the Food Pantry once a month.",['English'],Free,True,https://www.facebook.com/outreachoc,https://www.twitter.com/@outreachoc,"This program covers residents of the following counties: Orange County, CA.",33.6364777,-117.7203924,92618.0,False,9:00 AM - 2:00 PM  PST,9:00 AM - 2:00 PM  PST,9:00 AM - 2:00 PM  PST,9:00 AM - 2:00 PM  PST,Closed,Closed,Closed
Food & Meal Assistance,https://www.auntbertha.com//junior-foundation-charities--chino-hills-ca--food-%2526-meal-assistance/6354943357222912?postal=92620,"['food pantry', 'meals']",,"['teens', 'infants', 'children', 'cancer', 'families', 'facing end of life', 'on-treatment', 'young adult cancer survivors', 'post-treatment', 'recently diagnosed', 'with children']",,https://www.juniorfoundation.org/about_us,,,['Child diagnosed with cancer'],full,"***MUST HAVE A CHILD DIAGNOSED WITH CANCER***

The Food & Meal Assistance program offers assistance to families with children diagnosed with cancer within several counties of California.

This program provides:

- Food & Meal assistance

Support is provided regardless of county residence, but MUST HAVE a child diagnosed with cancer.",['English'],Free,True,https://www.facebook.com/JuniorFoundation,https://www.twitter.com/@JuniorFound,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,False,,,,,,,
Immediate Essential Services,https://www.auntbertha.com//build-futures--huntington-beach-ca--immediate-essential-services/5983755011096576?postal=92620,"['food pantry', 'temporary shelter', 'help find housing', 'transportation', 'personal hygiene', 'skills & training']",,"['young adults', 'homeless']",,https://www.buildfutures.org/,,,"['This program helps people who are 18 to 24 years old.', 'This program helps homeless youth.']",available,Build Futures offers Immediate Essential Services for homeless youth in Orange County aged 18 to 24 who are in need of support to transition from homelessness to independence. We offer:- Immediate housing- Food- Transportation- Hygiene - Job training,['English'],Free,True,https://www.facebook.com/BuildFutures,https://www.twitter.com/@buildfutures,"This program covers residents of the following counties: Orange County, CA.",,,,False,9:00 AM - 5:00 PM  PST,Closed,9:00 AM - 5:00 PM  PST,Closed,9:00 AM - 5:00 PM  PST,Closed,Closed
Mobile Food Pantry,https://www.auntbertha.com//helping-hand-worldwide--laguna-beach-ca--mobile-food-pantry/4778461809868800?postal=92620,"['food delivery', 'food pantry', 'personal care items']",,"['all ages', 'veterans', 'unemployed', 'individuals', 'families', 'low-income']",949-230-7318,https://www.thehelpinghandworldwide.org/mobile-food-pantry/where-to-get-help/,,,[],available,Mobile Food Pantry program distributes fresh and healthy food directly to thirty communities with great need. We operate weekly food site distributions on a regularly scheduled basis to underserved communities throughout the county. This program provides:- Foods to meet basic nutritional needs- Personal care items,['English'],Free,True,https://www.facebook.com/thehelpinghandworldwide/,,"This program covers residents of the following counties: Orange County, CA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
HUB of Hope food distribution and resource center.,https://www.auntbertha.com//pathways-of-hope-inc--fullerton-ca--hub-of-hope-food-distribution-and-resource-center./6326292056113152?postal=92620,"['food pantry', 'personal care items', 'community support services']",,"['homeless', 'low-income', 'all ages']",714-680-3691,https://www.pohoc.org/hunger/,,,[],available,HUB of Hope offers emergency food and hygiene items to homeless and low-income families and individuals in Orange County. HUB of Hope ResourcesServices provided:- Client choice food pantry - Life skills classes- Hygiene kits- Diapers- Transportation assistance- Clothing vouchers- California photo ID referral services- Community service referrals,['English'],Free,True,https://www.facebook.com/Pathwaysofhopeoc/,https://www.twitter.com/@Pathways_ofHope,"This program covers residents of the following counties: Orange County, CA.",,,,False,8:30 AM - 5:30 PM  PST,8:30 AM - 5:30 PM  PST,8:30 AM - 5:30 PM  PST,8:30 AM - 5:30 PM  PST,8:30 AM - 5:30 PM  PST,Closed,Closed
Outreach Services,https://www.auntbertha.com//mercy-house--santa-ana-ca--outreach-services/5164702386618368?postal=92620,"['food pantry', 'navigating the system', 'support network', 'identification recovery']",,"['all ages', 'individuals', 'families', 'homeless', 'near homeless']",211,https://www.mercyhouse.net/programs,,,[],available,"Outreach services provide immediate relief to those facing homelessness each day. These services include rescue referral, access to food, showers, laundry services, outreach, and other basic needs.This program provides:- Referrals and navigation services- Food- Showers- Laundry services- Outreach- Basic needsPlease note, services are offered through coordinated entry. Please call 211 to initiate care.",['English'],Free,True,https://www.facebook.com/MercyHouseLC,https://www.twitter.com/@MercyHouseLC,"This program covers residents of the following counties: Orange County, CA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed
