Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_Type
Food Pantry (Elevate Life Church),https://www.auntbertha.com//elevate-life-church--riverside-ca--food-pantry/6706993935024128?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://elevatechurch.tv/food-distribution,"4017 Trailcreek Road, Riverside, CA 92505","https://www.google.com/maps/?q=4017+Trailcreek+Road,+Riverside,+CA+92505/",[],available,Elevate Life Church provides a community Food Pantry. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,False,https://www.facebook.com/elevatelifechurchriverside/,,"This program covers residents of the following cities: Riverside, CA.",33.899581,-117.491768,92505.0,False,Closed,12:00PM - 2:00PM,Closed,Closed,12:00PM - 2:00PM,Closed,Closed,0,Food
Food Bank (Lake Hills Christian Center),https://www.auntbertha.com//lake-hills-christian-center-%2528lhcc%2529--riverside-ca--food-bank/6684530931007488?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-737-6680,https://www.lhccr.com/copy-of-worship-team,"12500 Indiana Avenue, Riverside, CA 92503","https://www.google.com/maps/?q=12500+Indiana+Avenue,+Riverside,+CA+92503/",['Anyone can access these services.'],available,LHCC's Food Bank provides individuals with box of food for pick up. Individuals receive enough food to last almost an entire week.This program provides: - Food to meet nutritional needsParticipants must have a vehicle or cart to put your box and bags in. The Food Bank follows a first come first serve policy so please make sure to drive early.,['English'],Free,True,https://www.facebook.com/aglhcc,,"This program covers residents of the following cities: Riverside, CA.",33.8833116,-117.4961035,92503.0,False,Closed,Closed,Closed,Closed,2:00 PM - 4:00 PM,Closed,Closed,4.9,Food
Blessing Bag of Food (Trinity Lutheran Church),https://www.auntbertha.com//trinity-lutheran-church--riverside-ca--blessing-bag-of-food/5760418057420800?postal=92507,['food pantry'],,"['all ages', 'individuals', 'homeless']",951-682-1350,http://trinityriverside.org/outreach/,"5969 Brockton Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=5969+Brockton+Avenue,+Riverside,+CA+92506/",['This program serves homeless individuals.'],available,Ziploc bags containing food and water are available at the church to be picked up and shared with homeless people in the community.This program provides:- Food bags,['English'],Free,False,https://www.facebook.com/groups/355549243530,,"This program covers residents of the following cities: Riverside, CA.",33.961587,-117.3969952,92506.0,False,12:00PM - 4:00PM,12:00PM - 4:00PM,12:00PM - 4:00PM,12:00PM - 4:00PM,12:00PM - 4:00PM,Closed,Closed,0,Food
Grocery and Clothing Assistance (Arlington Temporary Assistance),https://www.auntbertha.com//arlington-temporary-assistance--riverside-ca--grocery-and-clothing-assistance/5137416858632192?postal=92507,"['food pantry', 'clothing', 'navigating the system']",,"['anyone in need', 'all ages']",951-689-5620,http://www.atariverside.org/,"10459 Arlington Avenue, Riverside, CA 92505","https://www.google.com/maps/?q=10459+Arlington+Avenue,+Riverside,+CA+92505/",['Anyone can access this program.'],available,"Arlington Temporary Assistance provides grocery and clothing assistance for individuals and families living in Riverside, CA.This program provides:- Food to meet nutritional needs- Clothing- Referrals to additional self-sufficiency servicesThese services are provided to members of the community free of charge. Contact the provider to learn more.","['English', 'Spanish']",Free,True,https://www.facebook.com/ArlingtonTemporaryAssistance/,,"This program covers residents of the following cities: Riverside, CA.",33.947038,-117.4824468,92505.0,False,1:00PM - 6:00PM,1:00PM - 4:00PM,1:00PM - 6:00PM,1:00PM - 4:00PM,Closed,Closed,Closed,4.3,"Food, Clothes"
Queen of Angels Food Pantry,https://www.auntbertha.com//queen-of-angels--riverside-ca--food-pantry/5964133168185344?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",714-492-9451,https://queenofangelsriverside.com/food-pantry,"4824 Jones Avenue, Riverside, CA 92505","https://www.google.com/maps/?q=4824+Jones+Avenue,+Riverside,+CA+92505/",['Anyone can access this program.'],available,Queen of Angels offers a food pantry that is open to anyone in need. This program supports individuals and families with placing food on the table so they don't go without a meal.This program provides:- Food to meet basic nutritional needs,"['English', 'Spanish']",Free,True,,,"This program covers residents of the following cities: Riverside, CA.",33.9252347,-117.478212,92505.0,False,Closed,Closed,Closed,9:00 AM - 10:00 AM  PST,Closed,Closed,Closed,,
Bright Path Center Emergency Food Assistance Program,https://www.auntbertha.com//bright-path-center--riverside-ca--emergency-food-assistance-program/4510892700336128?postal=92507,"['food pantry', 'meals']",,"['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",951-682-0088,https://brightpathcenter.org/emergency-food-service/,"4505 Allstate Drive, Riverside, CA 92501","https://www.google.com/maps/?q=4505+Allstate+Drive,+Riverside,+CA+92501/",['This program serves anyone in need.'],available,Bright Path Center's Emergency Food Assistance Program serves as a beacon of hope for those grappling with the risk of hunger and food insecurity.  This program provides:- Food pantry - Meals Those in need may contact Bright Path Center to schedule an appointment to pick up food. Those who do not have transportation may qualify for delivery service depending on location. Contact the provider for more information.,['English'],Free,False,https://www.facebook.com/brightPathNPO?mibextid=LQQJ4d,,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",34.0035875,-117.3754911,92501.0,False,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,Closed,2:00 PM - 5:00 PM  PST,,
Community Settlement Association Food Pantry Program,https://www.auntbertha.com//community-settlement-association-%2528csa%2529--riverside-ca--food-pantry/6466415525756928?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-686-6266,https://csariverside.org/food-pantry-program/,"4366 Bermuda Avenue, Riverside, CA 92507","https://www.google.com/maps/?q=4366+Bermuda+Avenue,+Riverside,+CA+92507/",['Anyone can access this program.'],available,"CSA is continuing to provide services to the community through the food pantry program during the COVID-19 crisis. CSA remains committed to the families, seniors and individuals being assisted every week throughout the year and those affected by the COVID-19 situation. This program provides: - Food to meet basic nutritional needsNo pre-registration is required.",['English'],Free,True,https://www.facebook.com/csa1911,,"This program covers residents of the following cities: Riverside, CA.",33.9708788,-117.3625198,92507.0,False,11:00 AM - 12:00 PM  PST,Closed,11:00 AM - 12:00 PM  PST,Closed,Closed,Closed,Closed,,
Bright Path Center Homeless Outreach,https://www.auntbertha.com//bright-path-center--riverside-ca--support-services---homeless-outreach/5432086032154624?postal=92507,"['food pantry', 'help find housing', 'clothing', 'personal hygiene', 'navigating the system']",,"['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",951-682-0088,https://brightpathcenter.org/homeless-outreach/,"4505 Allstate Drive, Riverside, CA 92501","https://www.google.com/maps/?q=4505+Allstate+Drive,+Riverside,+CA+92501/",['This program serves anyone in need.'],available,"Bright Path Center provides support services to anyone in need within the Inland Empire who need basic necessities like food, clothing, and housing. This program provides:- Food pantry- Clothing - Personal hygiene items- Referrals- Help find housing",['English'],Free,False,https://www.facebook.com/brightPathNPO?mibextid=LQQJ4d,,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA.",34.0035875,-117.3754911,92501.0,False,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,9:00 AM - 5:00 AM  PST,Closed,2:00 PM - 5:00 PM  PST,,
Riverside Spanish SDA Church Food Pantry,https://www.auntbertha.com//iglesia-adventista-de-riverside--riverside-ca--food-pantry/4607062925508608?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",,https://riversidespanishca.adventistchurch.org/,"3625 Ottawa Avenue, Riverside, CA 92507","https://www.google.com/maps/?q=3625+Ottawa+Avenue,+Riverside,+CA+92507/",['Anyone can access this program.'],available,Iglesia Adventista de Riverside offers quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet nutritional needsFood is distributed on the 3rd Friday of each month. Feel free to call for more information.,"['English', 'Spanish']",Free,True,https://www.facebook.com/iglesiaottawa,,"This program covers residents of the following cities: Riverside, CA.",33.9772907,-117.3532468,92507.0,False,Closed,Closed,Closed,Closed,9:00 AM - 11:00 AM  PST,Closed,Closed,,
MT. Rubidoux Free Food Pantry,https://www.auntbertha.com//mt.-rubidoux-seventh-day-adventist-church--riverside-ca--community-food-pantry/4988213742665728?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",800-242-6908,https://www.mtrubidouxsda.org/events/community-food-pantry,"5320 Victoria Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=5320+Victoria+Avenue,+Riverside,+CA+92506/",['Anyone can access these services.'],available,"Mt. Rubidoux Seventh-Day Adventist offers a community food pantry which provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsThe food pantry serves on a first-come, first-served basis.",['English'],Free,False,https://www.facebook.com/mtrubidoux,,"This program covers residents of the following cities: Riverside, CA.",33.9550431,-117.3692677,92506.0,False,Closed,10:00 AM - 12:00 PM,Closed,Closed,Closed,Closed,Closed,,
All Saint's Episcopal Church Food Distribution,https://www.auntbertha.com//all-saints%2527-episcopal-church---riverside--riverside-ca--food-share/5312726231547904?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-683-8466,https://www.allsaintsriverside.org/ministries/,"3847 Terracina Drive, Riverside, CA 92506","https://www.google.com/maps/?q=3847+Terracina+Drive,+Riverside,+CA+92506/",['Anyone can access this program.'],available,All Saints' Food Share provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood is distributed in the church parking lot on Thursdays at 10am.,['English'],Free,True,https://www.facebook.com/riversideallsaints/,,"This program covers residents of the following cities: Riverside, CA.",33.972863,-117.38446,92506.0,False,Closed,Closed,Closed,10:00 AM - 11:00 AM,Closed,Closed,Closed,,
Starting Over Inc. Food For Life,https://www.auntbertha.com//starting-over%252C-inc.--riverside-ca--food-for-life/6582199732535296?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",951-898-0862,https://www.startingoverinc.org/food-for-life,"6355 Riverside Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=6355+Riverside+Avenue,+Riverside,+CA+92506/",['Anyone in need can access this program.'],available,"Food For Life provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet basic nutritional needsFresh groceries are available bimonthly, on every second and fourth Saturday of the month from 8:00 a.m. to 12:00 p.m. Bags are provided.","['English', 'Spanish']",Free,True,https://www.facebook.com/startingoverinc,https://www.twitter.com/@SOI__CA,"This program covers residents of the following cities: Riverside, CA.",33.9520578,-117.3885994,92506.0,False,Closed,Closed,Closed,Closed,Closed,8:00 AM - 12:00 PM  PST,Closed,,
Lutheran Social Services Southern California Food Pantry,https://www.auntbertha.com//lutheran-social-services-of-southern-california-%2528lsssc%2529--riverside-ca--food-pantry/5738902336045056?postal=92507,['food pantry'],,"['all ages', 'individuals', 'families', 'limited english', 'emergency']",951-689-8447,https://www.lsssc.org/what-we-do/emergency-services/,"6857 Indiana Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=6857+Indiana+Avenue,+Riverside,+CA+92506/",['This program serves those who are in the coverage area.'],available,"LSSSC's food pantries provide fresh and non-perishable food in cans/cartons, refrigerated meats, vegetables & dairy products to community members in need. This program provides: Food to meet basic nutritional needs. Each location's food pantry has individual operating hours. Please call ahead of time to verify available services.","['English', 'Spanish']",Free,True,https://www.facebook.com/LSSSouthernCalifornia/,https://www.twitter.com/@LSSSouthernCal,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA and Ventura County, CA.",33.9427601,-117.3930643,92506.0,False,9:00 AM - 4:30 PM  PST,9:00 AM - 4:30 PM  PST,9:00 AM - 4:30 PM  PST,9:00 AM - 4:30 PM  PST,9:00 AM - 4:30 PM  PST,Closed,Closed,,
R'Pantry,https://www.auntbertha.com//university-of-california%252C-riverside--riverside-ca--r%2527pantry/4600232831746048?postal=92507,"['food pantry', 'baby supplies', 'home goods', 'personal care items', 'navigating the system']",,"['adults', 'young adults', 'teens', 'students']",,https://basicneeds.ucr.edu/rpantry,"900 University Avenue, Riverside, CA 92521","https://www.google.com/maps/?q=900+University+Avenue,+Riverside,+CA+92521/","['This program serves undergraduate and graduate students of the University of California, Riverside.']",available,"R'Pantry provides emergency non-perishable food, personal hygiene, household care, and childcare items to both undergraduate and graduate students experiencing food insecurity. This program also connects Highlanders to on- and off-campus food resources and provide programs and workshops that improve health and wellness.This program provides:- Food to meet basic nutritional needs- Help accessing available local resourcesIndividuals can check their Facebook or Instagram for current program details. Appointments are mandatory. One Appointment is allowed per student, weekly. Need appointments on Monday and Friday, but not Tuesday and Thursday. If multiple appointments are made by the same individual, all appointments belonging to the individual will be canceled for the week.",['English'],Free,False,https://www.facebook.com/ucrbasicneeds,https://www.twitter.com/@UCRBasicNeeds,"This program covers residents of the following cities: Riverside, CA.",33.9754254,-117.3315965,92521.0,False,11:00 AM - 4:00 PM,1:00 PM - 4:30 PM,Closed,1:00 PM - 4:30 PM,11:00 AM - 4:00 PM,Closed,Closed,,
Casa Blanca Emergency Food Pantry,https://www.auntbertha.com//casa-blanca-home-of-neighborly-service-%2528cbhns%2529--riverside-ca--emergency-food-pantry/5388105253519360?postal=92507,"['emergency food', 'food pantry']","['help find housing', 'navigating the system', 'help fill out forms', 'help find work', 'translation & interpretation']","['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'with children', 'limited english']",,https://casablancahns.org/food-pantry,"7680 Casa Blanca Street, Riverside, CA 92504","https://www.google.com/maps/?q=7680+Casa+Blanca+Street,+Riverside,+CA+92504/",['Anyone can access this program.'],available,"Casa Blanca Home of Neighborly Service (CBHNS) operates an Emergency Food Pantry for households experiencing a critical nutritional need.This program provides:- Emergency foodThis pantry is open 4 days each week, and households can access the pantry once each month.","['English', 'Spanish']",Free,True,https://www.facebook.com/profile.php?id=100011979676777,,"This program covers residents of the following cities: Riverside, CA.",33.9320441,-117.4067931,92504.0,False,9:00 AM - 4:00 PM  PST,9:00 AM - 4:00 PM  PST,Closed,9:00 AM - 4:00 PM  PST,9:00 AM - 4:00 PM  PST,Closed,Closed,,
Casa Blanca Drive Thru Food Distribution,https://www.auntbertha.com//casa-blanca-home-of-neighborly-service-%2528cbhns%2529--riverside-ca--drive-thru-food-distribution/5150997549809664?postal=92507,['food pantry'],"['help find housing', 'navigating the system', 'help fill out forms', 'help find work', 'translation & interpretation']","['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'with children', 'limited english']",,https://casablancahns.org/food-pantry,"7680 Casa Blanca Street, Riverside, CA 92504","https://www.google.com/maps/?q=7680+Casa+Blanca+Street,+Riverside,+CA+92504/",['Anyone can access this program.'],available,Casa Blanca Home of Neighborly Service offers a drive thru food distribution once each week to provide quality food items to households experiencing food insecurity.This program provides:- Food to meet basic nutritional needsThe weekly food distribution takes place on Wednesdays from 9 a.m. to 10 a.m.,"['English', 'Spanish']",Free,True,https://www.facebook.com/profile.php?id=100011979676777,,"This program covers residents of the following cities: Riverside, CA.",33.9320441,-117.4067931,92504.0,False,Closed,Closed,9:00 AM - 10:00 AM  PST,Closed,Closed,Closed,Closed,,
Casa Blanca Hot Meals,,"['emergency food', 'food pantry']","['help find housing', 'navigating the system', 'help fill out forms', 'help find work', 'translation & interpretation']","['anyone in need', 'all ages', 'unemployed', 'individuals', 'families', 'with children', 'limited english']",,https://casablancahns.org/food-pantry,"7680 Casa Blanca Street, Riverside, CA 92504","https://www.google.com/maps/?q=7680+Casa+Blanca+Street,+Riverside,+CA+92504/",['Anyone can access this program.'],available,,"['English', 'Spanish']",Free,True,https://www.facebook.com/profile.php?id=100011979676777,,"This program covers residents of the following cities: Riverside, CA.",33.9320441,-117.4067931,92504.0,False,9:00 AM - 4:00 PM  PST,9:00 AM - 4:00 PM  PST,9:00 AM - 4:00 PM  PST,9:00 AM - 4:00 PM  PST,9:00 AM - 4:00 PM  PST,Closed,Closed,,
Our Lady of Perpetual Help Church Food Pantry,https://www.auntbertha.com//our-lady-of-perpetual-help--riverside-ca--food-pantry/5699927902650368?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",951-689-8921,https://www.olphriverside.org/food-pantry/,"5250 Central Avenue, Riverside, CA 92504","https://www.google.com/maps/?q=5250+Central+Avenue,+Riverside,+CA+92504/",['Anyone can access this program.'],available,Our Lady of Perpetual Help's Food Pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,"['English', 'Spanish']",Free,True,,,"This program covers residents of the following counties: Riverside County, CA.",33.9530214,-117.4175291,92504.0,False,Closed,10:00 AM - 12:00 PM  PST,Closed,10:00 AM - 12:00 PM  PST,10:00 AM - 12:00 PM  PST,Closed,Closed,,
Magnolia Center Church of Christ Food Pantry,https://www.auntbertha.com//magnolia-center-church-of-christ--riverside-ca--food-pantry/5284546851504128?postal=92507,['food pantry'],,"['all ages', 'individuals', 'families']",,https://magcenterchurch.com/food-pantry,"6160 Riverside Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=6160+Riverside+Avenue,+Riverside,+CA+92506/",[],available,The Magnolia Center Church of Christ seeks to alleviate hunger in the community by providing food. This program provides:- Food to meet basic nutritional needsPlease come by the church and someone will be more than happy to help so that you don't go hungry. You can also call during contact hours for more information about this program.,"['American Sign Language', 'English']",Free,True,https://www.facebook.com/MagnoliaCenterChurchofChrist/?ref=page_internal,,"This program covers residents of the following cities: Riverside, CA.",33.9570165,-117.387301,92506.0,False,Closed,Closed,Closed,Closed,Closed,Closed,11:00 AM - 11:30 AM  PST,,
Lighthouse of Hope Foundation Inc. Mobile Food Pantry,https://www.auntbertha.com//lighthouse-of-hope-foundation--riverside-ca--food-distribution/6364517402804224?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-977-6560,https://lighthouseofhopeca.com/food/,"9085 California Avenue, Riverside, CA 92503","https://www.google.com/maps/?q=9085+California+Avenue,+Riverside,+CA+92503/",['Anyone can access this program.'],available,Lighthouse of Hope Foundation's Food Distribution provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet basic nutritional needs. Visit the website or email for specific dates and times.,['English'],Free,True,https://www.facebook.com/LighthouseofHopeFoundationInc/,,"This program covers residents of the following cities: Riverside, CA.",33.9315108,-117.4439383,92503.0,False,Closed,Closed,?,Closed,Closed,Closed,Closed,,
Lighthouse of Hope Foundation Inc. Community Food Pantry,https://www.auntbertha.com//lighthouse-of-hope-foundation--riverside-ca--food-pantry/6281355036065792?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'with children']",951-977-6560,https://lighthouseofhopeca.com/food/,"9085 California Avenue, Riverside, CA 92503","https://www.google.com/maps/?q=9085+California+Avenue,+Riverside,+CA+92503/",['Anyone can access this program.'],available,"Lighthouse of Hope Foundation offers quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsPlease note, the food pantry is available every Monday, Wednesday and Friday. Monday is at different location: 87921 Philbin Ave, Riverside, CA 92503.","['English', 'Spanish']",Free,True,https://www.facebook.com/LighthouseofHopeFoundationInc,,"This program covers residents of the following counties: Riverside County, CA.",33.9314615,-117.4441111,92503.0,False,11:00 AM - 12:30 PM  PST,Closed,11:00 AM - 1:00 PM  PST,Closed,11:00 AM - 1:00 PM  PST,Closed,Closed,,
Faith Lutheran Church Food Distribution,https://www.auntbertha.com//faith-lutheran-church--riverside-ca--food-distribution/5861392264593408?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",951-689-2626,https://www.flcriv.org/ministries,"4785 Jackson Street, Riverside, CA 92503","https://www.google.com/maps/?q=4785+Jackson+Street,+Riverside,+CA+92503/",[],available,Faith Lutheran Church helps alleviate food insecurity and raises awareness of hunger in the community.This program provides:- Food to meet basic nutritional needs,['English'],Free,True,https://www.facebook.com/paulgwenz,,"This program covers residents of the following cities: Riverside, CA.",33.9396369,-117.4510413,92503.0,False,Closed,Closed,?,?,Closed,Closed,Closed,,
Wesley United Methodist Church Food Pantry,https://www.auntbertha.com//wesley-united-methodist-church--riverside-ca--food-pantry/6351008774488064?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless']",951-689-2649,http://www.riversidewesley.org/ministries/outreach-homeless-ministries/pantry,"5770 Arlington Avenue, Riverside, CA 92504","https://www.google.com/maps/?q=5770+Arlington+Avenue,+Riverside,+CA+92504/",[],available,"Wesley United Methodist Church offers their Food Pantry to individuals and families in the community who are in need of assistance obtaining nourishing foods.This program provides:- Food to meet basic nutritional needsThere is a Drive-Thru Pantry and a Walk-thru Pantry for those without vehicles. Hours are Fridays from 9:30 a.m. to 10:30 a.m., or until they run out of food.",['English'],Free,True,https://www.facebook.com/Wesley-United-Methodist-Church-117106038356346/,,"This program covers residents of the following cities: Riverside, CA.",33.9452856,-117.42852,92504.0,False,Closed,Closed,Closed,Closed,9:30 AM - 10:30 AM  PST,Closed,Closed,,
Magnolia Church Pantry,https://www.auntbertha.com//magnolia-church--riverside-ca--magnolia-pantry/6752021401174016?postal=92507,['food pantry'],,"['anyone in need', 'all ages', 'individuals', 'families']",,https://magonline.com/volunteer/,"8351 Magnolia Avenue, Riverside, CA 92504","https://www.google.com/maps/?q=8351+Magnolia+Avenue,+Riverside,+CA+92504/",['Anyone can access this program.'],available,The Magnolia Pantry helps local families lower their grocery bills by assisting with monthly food distribution. This program supplies critical nutrition to hungry individuals and families. This program provides: - Food to meet basic nutritional needs The pantry is open on the 3rd Saturday of every month from 8:30am - 11:30am.,['English'],Free,True,https://www.facebook.com/MagnoliaChurch/,https://www.twitter.com/@Magnolia_Church,"This program covers residents of the following cities: Riverside, CA.",33.9338941,-117.4258181,92504.0,False,Closed,Closed,Closed,Closed,Closed,8:30 AM - 11:30 AM  PST,Closed,,
LifeSpring Assembly of God Food Bank,https://www.auntbertha.com//lifespring-assembly-of-god--riverside-ca--food-bank/5603304908390400?postal=92507,['food pantry'],,"['all ages', 'individuals', 'families']",951-683-6081,http://www.lifespringonline.com/site/mindisplay.asp?id=180009067&sec_id=180022055,"1224 Main Street, Riverside, CA 92501","https://www.google.com/maps/?q=1224+Main+Street,+Riverside,+CA+92501/",['This program serves individuals and families in the community.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food pantryThe pantry is available every 1st and 3rd Monday of the month.,['English'],Free,True,,,"This program covers residents of the following cities: Riverside, CA.",34.0057851,-117.3632083,92501.0,False,9:00 AM - 10:00 AM  PST,Closed,Closed,Closed,Closed,Closed,Closed,,
RCC Basic Needs Food Pantry,https://www.auntbertha.com//riverside-city-college--riverside-ca--basic-needs-resource-center-%2528bnrc%2529---food-pantry/5345533256663040?postal=92507,['food pantry'],,"['adults', 'young adults', 'teens', 'seniors', 'students']",,https://www.rcc.edu/student-support/basic-needs-center.html,"Fairfax Avenue, Riverside, CA 92506","https://www.google.com/maps/?q=Fairfax+Avenue,+Riverside,+CA+92506/",['Must be a student currently enrolled in Riverside City College.'],available,"The Basic Needs Resource Center (BNRC) is available to all RCC students in need and aims to help supplement basic needs and promote sustainability for overall student wellness and success. BNRC provides provides quality food items to students experiencing food insecurity.This program provides:- Food to meet basic nutritional needsStudents can visit the pantry for a bag of food and personal items once every 2 weeks. If they demonstrate more need, they may be able to visit more often.Note hours may be impacted by food inventory or deliver. Please see the posted weekly schedule on the door for updates.",['English'],Free,False,https://www.facebook.com/RiversideCityCollege,https://www.twitter.com/@RCCSocialmedia,"This program covers residents of the following cities: Riverside, CA.",33.9708533,-117.3833383,92506.0,False,8:00 AM - 12:00 PM  PST,8:00 AM - 6:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 12:00 PM  PST,Closed,Closed,,