name,location_link,rating,review_id,author_id,review_text,review_rating
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSUQxeDZ6ZlhnEAE,114249849031633587987,,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSURac292WUdREAE,115140694639415508390,,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSUNSd3FQM1F3EAE,107641237155607282265,Always very helpful and friendly anytime you go in ðŸ˜Š,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSURlMm9IQWV3EAE,107172411188281826400,,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSUN5LXNid0ZBEAE,116237013963268680288,What a Joking about service to deaf Community what a waste of time and money and no protection to our right.,1
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChdDSUhNMG9nS0VJQ0FnSURDbEpHZmhRRRAB,111446174879836335173,"Good Services place, ASL  interpreters.  B U T  closed because  Cov-19 Coronavirus spreading,  sad. Only Sorenson Vp or chat cameras VP",5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSURJM19lb1BREAE,118390402211159666499,,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChdDSUhNMG9nS0VJQ0FnSUNJZzRucnhBRRAB,117535103795584271296,,4
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSURRdDlmUVZ3EAE,108238302610088475712,,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSUNBdFlXTFF3EAE,106868076105344243893,Yes I'm deaf,5
Center On Deafness Inland Empire (CODIE),"https://www.google.com/maps/place/Center+On+Deafness+Inland+Empire+%28CODIE%29/@33.996874999999996,-117.3446699,14z/data=!4m8!1m2!2m1!1sCenter+On+Deafness+Inland+Empire+%28CODIE%29!3m4!1s0x80dcb04c837a3d6b:0xa25a6c1bcaf0aa5b!8m2!3d33.996874999999996!4d-117.3446699",4.5,ChZDSUhNMG9nS0VJQ0FnSUNneFlhdFFREAE,112939525144022981828,,5
